ID,Age,Category,Day,gender,tripduration
631,1960 - 1964,6,25,1,661.822627037
632,1960 - 1964,6,25,2,753.115
633,1960 - 1964,6,26,0,480.0
634,1960 - 1964,6,26,1,729.102003643
635,1960 - 1964,6,26,2,849.174067496
636,1960 - 1964,6,27,0,524.5
637,1960 - 1964,6,27,1,716.363714903
638,1960 - 1964,6,27,2,734.640909091
639,1960 - 1964,6,28,0,560.5
640,1960 - 1964,6,28,1,719.788230241
641,1960 - 1964,6,28,2,758.328257191
642,1960 - 1964,6,29,0,717.428571429
643,1960 - 1964,6,29,1,667.698449977
644,1960 - 1964,6,29,2,734.76481149
645,1960 - 1964,6,30,0,951.571428571
646,1960 - 1964,6,30,1,719.381959911
647,1960 - 1964,6,30,2,723.159509202
648,1960 - 1964,6,31,0,1990.0
649,1960 - 1964,6,31,1,718.423905944
650,1960 - 1964,6,31,2,849.234449761
651,1965 - 1969,7,01,0,728.363636364
652,1965 - 1969,7,01,1,675.757980456
653,1965 - 1969,7,01,2,797.733804476
654,1965 - 1969,7,02,0,513.666666667
655,1965 - 1969,7,02,1,586.951434879
